English;Synonyms;Latin;Synonyma;Français;Synonymes;Español;;Portugues;
Subtendinous bursa of teres minor muscle;;Bursa subtendinea musculus teretis minoris;;Bourse sous-tendineuse du muscle petit rond;%Bourse subtendineuse du muscle petit rond;Bursa subtendinosa del músculo teres menor;;Bursa subtendínea do músculo redondo menor;
Intertubercular synovial sheath;;Vagina synovialis intertubercularis;;Gaine synoviale intertuberculaire;;Vaina sinovial intertubercular;;Bainha sinovial intertubercular;
Intertubercular bursa;;Bursa intertubercularis;;Bourse intertuberculaire;;Bursa intertubercular;;Bolsa intertubercular;
Subcutaneous olecranon bursa;;Bursa subcutanea olecrani;;Bourse sous-cutanée de l'olécrâne;%Bourse subtendineuse de l'olécrâne;Bolsa subcutánea del olécranon;;Bolsa subcutânea do olécrano;
Intratendinous bursa of olecranium;;Bursa intratendinea olecrani;;Bourse infratendineuse olécranienne;%Bourse intratendineuse olécrânienne;Bursa intratendinosa del olecranio;;Bursa intratendinosa do olécrano;
Subtendinous bursa of triceps brachii muscle;;Bursa subtendinea musculi tricipitis;%Bursa subtendinea olecrani;Bourse sous-tendineuse du triceps brachial;%Bourse subtendineuse du triceps brachial;Bolsa subtendinosa del músculo tríceps braquial;;Bursa subtendinosa do músculo tríceps;
Bicipitoradial bursa;;Bursa bicipitoradialis;;Bourse bicipitoradiale;%Bourse bicipito-radiale;Bolsa bicipitoradial;;Bursa bicipitorradial;
Subtendinous bursa of brachialis muscle;;Bursa subtendinea musculus brachialis;;Bourse sous-tendineuse du muscle brachial;%Bourse subtendineuse du muscle brachial;Bursa subtendinosa del músculo brachialis;;Músculo bursa subtendinum brachii;
Subcutaneous precarpal bursa;;Bursa subcutanea precarpalis;;Bourse sous-cutanée précarpale;;Bursa subtendinosa precarpal;;Bursa pré-carpal subcutânea;
Tendon sheath of abductor digiti I longus muscle;;Vagina tendinis musculus abductoris digiti I longi;;Gaine tendineuse du muscle long abducteur du doigt I;;Vaina tendinosa del músculo largo abductor del dedo I;;Bainha tendinosa do músculo abdutor longo dos dedos;
Subtend. bursa of abductor digiti I longus muscle (bo, eq);;Bursa subtendinea musculus abductoris digiti I longi (bo, eq);;Bourse sous-tendineuse du long abducteur du doigt I (bo, eq);%Bourse subtendineuse du long abducteur du doigt I;B. subtendinosa del m. largo abductor del dedo I (bo, eq);;Bursa subtendinum do músculo abdutor do dedo longo (bo, eq);
Tendinous sheath of extensor carpi radialis muscle;;Vagina tendinis musculus extensoris carpi radialis;;Gaine du tendon de l'extenseur radial du carpe;;Vaina del tendón extensor radial del carpo;;Bainha tendinosa do músculo extensor radial do carpo;
Tendinous sheaths of extensor digitorum communis muscle;;Vagina tendinum musculus extensoris digitorum communis;;Gaine tendineuse de l'extenseur commun des doigts;;Vaina tendinosa del músculo extensor comun de los dedos;;Bainha tendinosa do músculo extensor comum dos dedos;
Tendinous sheath of ext. digitorum lateralis muscle (hand);;Vagina tendinis musculus extensoris digit. lateralis manus;;Gaine tendineuse de l'extenseur latéral des doigts de la main;;Vaina tendinosa del m. extensor lat. de los dedos de la mano;;Bainha tendinosa do músculo extensor digitorum lateral da mão;
Tendinous sheath of extensor carpi ulnaris muscle;;Vagina tendinis musculus extensoris carpi ulnaris;;Gaine tendineuse de l'extenseur ulnaire du carpe;;Vaina tendinosa del músculo extensor ulnar del carpo;;Bainha tendinosa do músculo extensor ulnar do carpo;
Subtendinous bursa of extensor carpi ulnaris muscle;;Bursa subtendinea musculus extensoris carpi ulnaris;;Bourse sous-tendineuse de l'extenseur ulnaire du carpe;%Bourse subtendineuse de l'extenseur ulnaire du carpe;Bursa subtendinosa del músculo extensor ulnar del carpo;;Bursa subtendinosa do músculo extensor ulnar do carpo;
Subtendinous bursa of extensor carpi radialis muscle;;Bursa subtendinea musculus extensoris carpi radialis;;Bourse sous-tendineuse de l'extenseur radial du carpe;%Bourse subtendineuse de l'extenseur radial du carpe;Bursa subtendinosa del músculo extensor radial del carpo;;Bursa subtendinosa do músculo extensor radial do carpo;
Tendon sheath of flexor carpi radialis muscle;;Vagina tendinis musculus flexoris carpi radialis;;Gaine tendineuse du fléchisseur radial du carpe;%Gaine tendineuse du muscle fléchisseur radial du carpe;Vaina tendinosa del flexor radial del carpo;;Bainha tendinosa do músculo flexor radial do carpo;
Synovial sheath of common flexor muscles;;Vagina synovialis communis musculi flexorum;;Gaine synoviale des fléchisseurs communs;;Vaina sinovial de los músculos flexores comunes;;Bainha sinovial comum dos músculos flexores;
Subtendinous bursa of flexor digitorum profundus muscle;;Bursa subtendinea musculus flexoris digit. profundi;;Bourse sous-tendineuse du fléchisseur profond des doigts;%Bourse subtendineuse du fléchisseur profond des doigts;Busrsa subtendinosa del músculo flexor profundo de los dedos;;Bursa subtendinum do músculo flexor profundo dos dedos;
Muscular bursae of flexor digitorum superficialis muscle;;Bursae musculus flexoris digitorum superficialis;;Bourses musculaires du fléchisseur superficiel des doigts;;Bursas musculares del músculo flexor superficial de los dedos;;Bursas do músculo flexor superficial dos dedos;
Tendinous sheaths of flexor carpi ulnaris muscle (Car);;Vagina tendinis musculus flexoris carpi ulnaris (Car);;Gaine tendineuse du fléchisseur ulnaire du carpe (Car);;Vaina tendinosa del músculo flexor ulnar del carpo (Car);;Bainha tendinosa do músculo flexor ulnar do carpo (Car);
Subtendinous bursa of ext. digitorum communis muscle (Ru, eq);;Bursa subtendinea m. extensoris digit. communis (Ru, eq);;Bourse sous-tendineuse de l'extenseur commun des doigts (Ru, éq);%Bourse subtendineuse de l'extenseur commun des doigts;B. subtendinosa del m. extensor commun de los dedos (Ru, eq);;Bursa subtendínea m. extensor comum dos dedos (Ru, eq);
Subtend. bursa of ext. digitorum lat. muscle (hand) (Ru, eq);;Bursa subtendinea m. extensoris digit. lat. manus (Ru, eq);;Bourse subtend. du m. ext. lat. des doigts (Ru, éq);;B. subtend. del m. ext. lat. de los dedos de la mano (Ru, eq);;Bursa subtendínea m. extensor dos dedos lat. manus (Ru, eq);
Distal sheath of tendons of m. ext. digit. communis m. (Ru);;Vagina distalis tendinum m. extensoris digit.communis (Ru);;Gaine tendineuse distale du m. ext. commun des doigts (Ru);;Vaina tendinosa distal del m. ext. común de los dedos (Ru);;Bainha distal dos tendões do músculo extensor comum do dedo (Ru);
Subtendinous bursa of interosseous muscles of the hand;;Bursae subtendineae musculorum interosseorum manus;;Bourses sous-tendineuses des muscles interosseux de la main;%Bourses subtendineuses des muscles interosseux de la main;Bursas subtendinosas de los músculos interóseos de la mano;;Bursas subtendíneas dos músculos interósseos da mão;
Bursae podotrochlear of the hand;;Bursae podotrochleares manus;;Bourses podotrochléaire de la main;;Bursas podotroclear de la mano;;Bursas podotrocleares da mão;
Bursae and synovial sheaths of pelvic limb;;Bursae et vaginae synoviales membri pelvini;;Bourses et gaines synoviales du membre pelvien;;Bursas y vainas sinoviales del miembro pelvico;;Bursas e bainhas sinoviais do membro pélvico;
Subcutaneous trochanteric bursa;;Bursa subcutanea trochanterica;%Bursa trochanterica subcutanea;Bourse trochantérique sous-cutanée;%Bourse sous-cutanée trochantérique;Bolsa trocantérica subcutánea;;Bursa trocantérica subcutânea;
Subcutaneous iliac [coxal] bursa;;Bursa subcutanea iliaca [coxalis];;Bourse sous-cutanée iliaque [coxale];%Bourse subcutanée iliaque;Bursa subcutánea iliaca [coxal];;Bursa ilíaca subcutânea [coxal];
Subcutaneous isciatic bursa;;Bursa subcutanea ischiatica;;Bourse sous-cutanée ischiatique;%Bourse subcutanée ischiatique;Bursa subcutánea isciatica;;Bursa isquiática subcutânea;
Trochanteric bursa of superficial gluteal muscle;;Bursa trochanterica musculus glutei superficialis;;Bourse trochantérique du fessier superficiel;%Bourse trochantérique du muscle glutéal superficiel;Bursa trochanterica del músculo gluteo superfciial;;Bursa trocantérica do músculo glúteo superficial;
Trochanteric bursa of gluteal medius muscle;;Bursae trochantericae musculi glutei medii;;Bourses trochantériques du fessier moyen;;Bursa trochanterica del músculo gluteal medio;;Bursa trocantérica do músculo glúteo médio;
Trochanteric bursa of accessory gluteal muscle (eq);;Bursa trochanterica musculus glutei accessorii (eq);;Bourse trochantérique du fessier accessoire (eq);;Bursa trocantérica del músculo gluteo accessorio (eq);;Bursa trocantérica músculo glúteo acessório (eq);
Trochanteric bursa of deep gluteal muscle;;Bursa trochanterica musculus glutei profundi;;Bourse trochantérique du fessier profond;%Bourse trochantérique du muscle glutéal profond;Bursa trocantérica del músculo gluteal profundo;;Bursa trocantérica do músculo glúteo máximo;
Isciatic bursa of internal obturator muscle (Car, eq);;Bursa ischiadica musculus obturatorii interni (Car, eq);;Bourse ischiatique de l'obturateur interne (Car, eq);;Bursa isciatica del músculo obturtor interno (Car, eq);;Bursa isquiática do músculo obturador interno (Car, eq);
Isciatic bursa of external obturator muscle (Su, Ru);;Bursa ischiadica musculus obturatorii externi (su, Ru);;Bourse ischiatique de l'obturateur externe (su, Ru);;Bursa isciatica del músculo obturator externo (Su, Ru);;Músculo obturador externo (su, Ru);
Subtendinous bursa of internal obturator muscle (Car, eq);;Bursa subtendinea musculus obturatorii interni (Car, eq);;Bourse sous-tendineuse de l'obturateur interne (Car, eq);%Bourse subtendineuse de l'obturateur interne;Bursa subtendinosa del músculo obturador interno (Car, eq);;Bursa subtendinosa do músculo obturador interno (Car, eq);
Subtendinous bursa of external obturator muscle (Su, Ru);;Bursa subtendinea musculus obturatorii externi (su, Ru);;Bourse sous-tendineuse de l'obturateur externe (su, Ru);%Bourse subtendineuse de l'obturateur externe;Bursa subtendinosa del músculo obturador externo (su, Ru);;Bursa subtendinea músculo obturador externo (su, Ru);
Trochanteric bursa of biceps femoris muscle;;Bursa trochanterica musculus bicipitis femoris;;Bourse trochantérique du biceps fémoral;;Bursa trochanterica del músculo bíceps femoral;;Bursa trocantérica do músculo bíceps femoral;
Ischiatic bursa of semitendinous muscle;;Bursa ischiadica musculus semitendinosi;;Bourse ischiatique du semitendineux;;Bursa isciatica del múculo semitendinoso;;Bursa isquiática do músculo semitendinoso;
Bursa of rectus femoris muscle;;Bursa musculus recti femoris;;Bourse du droit fémoral;;Bursa del músculo rectur femoris;;Bursa do músculo reto femoral;
Subtendinous bursa of iliacus muscle;%Subtendinous bursa of iliopsoas;Bursa subtendinea iliaca;%Iliopsoas bursa, bursa ilica subtendinea;Bourse sous-tendineuse du muscle iliaque;%Bourse subtendineuse du muscle iliaque;Bolsa subtendínea ilíaca;;Bursa ilíaca subtendinosa;
Subcutaneous prepatellar bursa;;Bursa subcutanea prepatellaris;%Bursa subcutanea praepatellaris%Bursa prepatellaris subcutanea;Bourse prépatellaire sous-cutanée;;Bolsa prepatelar subcutánea;;Bursa subcutânea pré-patelar;
Subfascial prepatellar bursa;;Bursa subfascialis prepatellaris;%Bursa subfascialis praepatellaris%Bursa prepatellaris media%Bursa prepatellaris subaponeurotica;Bourse subfasciale prépatellaire;;Bolsa prepatelar subfascial;;Bursa subfascial pré-patelar;
Prepatellar subtendinous bursae;;Bursae subtendineae prepatellares;;Bourse prépatellaire sous-tendineuse;%Bourse sous-tendineuse prépatellaire;Bursa prepatellar subtendina;;Bursas subtendinosas pré-patelares;
Proximal infrapatellar bursa (eq);;Bursa infrapatellaris proximalis (eq);;Bourse infrapatellaire proximale (eq);;Bursa infrapatelar proximal (eq);;Bolsa infrapatelar proximal (eq);
Distal infrapatellar bursa;;Bursa infrapatellaris distalis;;Bourse infrapatellaire distale;;Bursa infrapatelar distal;;Bursa infrapatelar distal;
Subcutaneous bursa of tuberosity of tibia;;Bursa subcutanea tuberositatis tibiae;;Bourse sous-cutanée de la tubérosité tibiale;%Bourse subcutanée de la tubérosité tibiale;Bolsa subcutánea de la tuberosidad de la tibia;;Bursa subcutânea da tuberosidade tibial;
Subtendinous bursa of semitendinous muscle;;Bursa subtendinea musculus semitendinosi;;Bourse sous-tendineuse du semitendineux;;Bursa subtendinosa del músculo semitendinoso;;A bursa subtendinosa do músculo semitendinoso;
Subtendinous bursa of biceps femoris muscle;;Bursa subtendinea musculus bicipitis femoris distalis;;Bourse sous-tendineuse du biceps fémoral distal;;Bursa subtendea músculo del bíceps femoral distalis;;Bursa subtendinosa do músculo bíceps femoral distal;
Subpopliteal recess;;Recessus subpopliteus;%Bursa musculi poplitei;Récessus subpoplité;;Receso subpoplíteo;;Recesso subpoplíteo;
Subextensor recess;;Recessus subextensorius;;Récessus sous-extenseur;%Récessus subextenseur;Recesso subextensor;;Recesso subextensor;
Subcutaneous bursa of lateral malleolus;;Bursa subcutanea malleoli lateralis;%Bursa subcutanea malleoli fibulae;Bourse sous-cutanée de la malléole latérale;%Bourse subcutanée de la malléole médiale;Bolsa subcutánea del maléolo lateral;;Bursa subcutânea do maléolo lateral;
Subcutaneous bursa of medial malleolus;;Bursa subcutanea malleoli medialis;%Bursa subcutanea malleoli tibiae;Bourse sous-cutanée de la malléole médiale;;Bolsa subcutánea del maléolo medial;;Bolsa subcutânea do maléolo medial;
Tendinous sheath of cranial tibial muscle;;Vagina tendinis musculus tibialis cranialis;;Gaine tendineuse du muscle tibial crânial;;Vaina tendinaosa del músculo tibial cranial;;Bainha tendinosa do músculo tibial cranial;
Tendinous sheath of the third fibular muscle (su, Ru);;Vagina tendinis musculus fibularis tertii (su, Ru);;Gaine du tendon du troisième fibulaire (su, Ru);;Vaina tendinosa del tercer fibular (su, Ru);;Bainha tendinosa do terceiro músculo peroneal (su, Ru);
Tendinous sheath of extensor digitorum longus muscle;;Vagina tendinum musculus extensoris digit. longi;;Gaines tendineuses du long extenseur des doigts;;Vainas tendinosas del músculo extensor largo de los dedos;;Bainha tendinosa do músculo extensor digitorum longus;
Tendinous sheath of lateral extensor digitorum muscle foot;;Vagina tendinis musculus extensoris digit. lateralis pedis;;Gaine tendineuse de l'extenseur latéral des orteils;;Vaina tendinosa del músculo ext. lat. de los dedos de pie;;Bainha tendinosa do músculo extensor digitorum lateral do pé;
Tendinous sheath of caudal tibial muscle (ca);;Vagina tendinis musculus tibialis caudalis (ca);;Gaine tendineuse du tibial caudal (ca);;Vaina tendinosa del músculo tibial caudal (ca);;Bainha tendinosa do músculo tibial caudal (ca);
Tendinous sheath of medial flexor digitorum muscle;;Vagina tendinis musculus flexoris digit. medialis;;Gaine tendineuse du fléchisseur médial des orteils;;Vaina tendinosa del músculo flexor medial de los dedos;;Bainha tendinosa do músculo flexor medial dos dedos;
Tendinous sheath of lateral flexor digitorum muscle;;Vagina tendinis musculus flexoris digit. lateralis;;Gaine tendineuse du fléchisseur lat. des orteils;;Vaina tendinosa del músculo flexor lateral de los dedos;;Bainha tendinosa do músculo flexor lateral dos dedos;
Tendinous sheath of fibularis longus muscle;;Vagina tendinis musculus fibularis longi;;Gaine tendineuse du long fibulaire;;Vaina tendinosa del músculo largo fibular lateral;;Bainha tendinosa do músculo fibular longo;
Subtendinous bursa of the fibularis longus muscle (su, Ru);;Bursa subtendinosa musculi fibularis longi (su, Ru);;Bourse sous-tendineuse du long fibulaire (su, Ru);%Bourse subtendineuse du long fibulaire (su, Ru);Bolsa subtendinosa del músculo peroneo (su, Ru);;Bursa subtendinosa do músculo fibular (su, Ru);
